Time,EcoregionName,EcoregionIndex,NumSites,AGB,
27, eco1,0,32,21166.4, 
27, eco2,1,1239,12612.9, 
27, eco3,2,689,29110.4, 
27, eco4,3,23,19265.3, 
27, eco6,4,3,28350.3, 
27, eco7,5,44,18942.5, 
27, eco8,6,6,16554.2, 
27, eco10,7,1861,18975.2, 
27, eco11,8,554,17837.7, 
27, eco12,9,71,26522.7, 
27, eco14,10,1,17565, 
27, eco16,11,3333,22774.3, 
27, eco17,12,7434,34038.9, 
27, eco18,13,2972,24617, 
27, eco19,14,2108,27189, 
27, eco20,15,39,23999.8, 
27, eco21,16,98,19647.2, 
27, eco22,17,695,26563.1, 
27, eco23,18,688,20818.3, 
27, eco24,19,567,23827, 
27, eco25,20,12,12788.3, 
27, eco26,21,860,20015.9, 
27, eco27,22,878,17553.5, 
27, eco28,23,746,18224.5, 
27, eco29,24,2644,22402.3, 
27, eco30,25,39,22403.7, 
28, eco1,0,32,21497.4, 
28, eco2,1,1239,12834, 
28, eco3,2,689,29478.9, 
28, eco4,3,23,19557, 
28, eco6,4,3,28806.3, 
28, eco7,5,44,19218.7, 
28, eco8,6,6,16804.8, 
28, eco10,7,1861,19267.8, 
28, eco11,8,554,18126.7, 
28, eco12,9,71,26900.3, 
28, eco14,10,1,17807, 
28, eco16,11,3333,23111.7, 
28, eco17,12,7434,34331.5, 
28, eco18,13,2972,24964.7, 
28, eco19,14,2108,27415.2, 
28, eco20,15,39,24302.6, 
28, eco21,16,98,19971.7, 
28, eco22,17,695,27104.2, 
28, eco23,18,688,21172.5, 
28, eco24,19,567,24200.4, 
28, eco25,20,12,13136.9, 
28, eco26,21,860,20255.1, 
28, eco27,22,878,17826.8, 
28, eco28,23,746,18530.3, 
28, eco29,24,2644,22619.8, 
28, eco30,25,39,22766.4, 
29, eco1,0,32,21826.9, 
29, eco2,1,1239,13055.6, 
29, eco3,2,689,29840.3, 
29, eco4,3,23,19846.4, 
29, eco6,4,3,29255, 
29, eco7,5,44,19496.3, 
29, eco8,6,6,17090.7, 
29, eco10,7,1861,19560.3, 
29, eco11,8,554,18417, 
29, eco12,9,71,27273.9, 
29, eco14,10,1,18045, 
29, eco16,11,3333,23445.3, 
29, eco17,12,7434,34610.8, 
29, eco18,13,2972,25308.1, 
29, eco19,14,2108,27634.9, 
29, eco20,15,39,24614.3, 
29, eco21,16,98,20292.4, 
29, eco22,17,695,27639.6, 
29, eco23,18,688,21523.7, 
29, eco24,19,567,24569.8, 
29, eco25,20,12,13470, 
29, eco26,21,860,20493.8, 
29, eco27,22,878,18099.7, 
29, eco28,23,746,18840.7, 
29, eco29,24,2644,22834.4, 
29, eco30,25,39,23131.3, 
30, eco1,0,32,22158.1, 
30, eco2,1,1239,13278.1, 
30, eco3,2,689,30194.7, 
30, eco4,3,23,20142.1, 
30, eco6,4,3,29685.7, 
30, eco7,5,44,19774.6, 
30, eco8,6,6,17374, 
30, eco10,7,1861,19854.2, 
30, eco11,8,554,18710.1, 
30, eco12,9,71,27643.7, 
30, eco14,10,1,18279, 
30, eco16,11,3333,23771.2, 
30, eco17,12,7434,34876.8, 
30, eco18,13,2972,25645, 
30, eco19,14,2108,27844.9, 
30, eco20,15,39,24924.6, 
30, eco21,16,98,20598.4, 
30, eco22,17,695,28167.9, 
30, eco23,18,688,21874.7, 
30, eco24,19,567,24931.7, 
30, eco25,20,12,13834.2, 
30, eco26,21,860,20730.9, 
30, eco27,22,878,18372.2, 
30, eco28,23,746,19150.5, 
30, eco29,24,2644,23045.4, 
30, eco30,25,39,23494.6, 
31, eco1,0,32,22486.7, 
31, eco2,1,1239,13502.9, 
31, eco3,2,689,30540.3, 
31, eco4,3,23,20433.7, 
31, eco6,4,3,30096.3, 
31, eco7,5,44,20050.6, 
31, eco8,6,6,17651.3, 
